[Tue Feb 21 08:15:59.177257 2017] [autoindex:error] [pid 5440] [client 132.177.241.156:50764] AH01276: Cannot serve directory /web/daw1002/htdocs/: No matching DirectoryIndex (index.html,index.php) found, and server-generated directory index forbidden by Options directive
[Fri Mar 03 15:19:44.947135 2017] [:error] [pid 28969] [client 132.177.241.156:37160] PHP Notice:  Undefined index: lusername in /web/daw1002/htdocs/enter.php on line 5, referer: http://daw1002.sr.unh.edu/index.php
[Fri Mar 03 15:20:25.331371 2017] [:error] [pid 26408] [client 132.177.241.156:37268] PHP Notice:  Undefined variable: line1 in /web/daw1002/htdocs/index.php on line 64
[Fri Mar 03 15:20:25.331405 2017] [:error] [pid 26408] [client 132.177.241.156:37268] PHP Notice:  Undefined variable: line2 in /web/daw1002/htdocs/index.php on line 64
[Fri Mar 03 15:20:25.331414 2017] [:error] [pid 26408] [client 132.177.241.156:37268] PHP Notice:  Undefined variable: mix in /web/daw1002/htdocs/index.php on line 65
[Fri Mar 03 15:22:20.245258 2017] [:error] [pid 29030] [client 132.177.241.156:37620] PHP Notice:  Undefined variable: line1 in /web/daw1002/htdocs/index.php on line 64
[Fri Mar 03 15:22:20.245299 2017] [:error] [pid 29030] [client 132.177.241.156:37620] PHP Notice:  Undefined variable: line2 in /web/daw1002/htdocs/index.php on line 64
[Fri Mar 03 15:22:20.245324 2017] [:error] [pid 29030] [client 132.177.241.156:37620] PHP Notice:  Undefined variable: mix in /web/daw1002/htdocs/index.php on line 65
[Fri Mar 03 15:23:40.642358 2017] [:error] [pid 29029] [client 132.177.241.156:37766] PHP Notice:  Undefined property: mysqli_stmt::$rum_rows in /web/daw1002/htdocs/enter.php on line 26, referer: http://daw1002.sr.unh.edu/index.php
[Fri Mar 03 15:23:40.642614 2017] [:error] [pid 29029] [client 132.177.241.156:37766] PHP Notice:  Undefined property: mysqli_stmt::$rum_rows in /web/daw1002/htdocs/enter.php on line 36, referer: http://daw1002.sr.unh.edu/index.php
[Fri Mar 03 15:49:08.184451 2017] [:error] [pid 29027] [client 132.177.241.156:45396] PHP Notice:  Undefined property: mysqli_stmt::$rum_rows in /web/daw1002/htdocs/enter.php on line 26, referer: http://daw1002.sr.unh.edu/index.php
[Fri Mar 03 15:49:08.184704 2017] [:error] [pid 29027] [client 132.177.241.156:45396] PHP Notice:  Undefined property: mysqli_stmt::$rum_rows in /web/daw1002/htdocs/enter.php on line 36, referer: http://daw1002.sr.unh.edu/index.php
[Fri Mar 03 15:50:26.916952 2017] [:error] [pid 31547] [client 132.177.241.156:45416] PHP Notice:  Undefined property: mysqli_stmt::$rum_rows in /web/daw1002/htdocs/enter.php on line 26, referer: http://daw1002.sr.unh.edu/index.php
[Fri Mar 03 15:50:26.917201 2017] [:error] [pid 31547] [client 132.177.241.156:45416] PHP Notice:  Undefined property: mysqli_stmt::$rum_rows in /web/daw1002/htdocs/enter.php on line 36, referer: http://daw1002.sr.unh.edu/index.php
[Fri Mar 03 15:51:12.924534 2017] [:error] [pid 25612] [client 132.177.241.156:45420] PHP Notice:  Undefined property: mysqli_stmt::$rum_rows in /web/daw1002/htdocs/enter.php on line 26, referer: http://daw1002.sr.unh.edu/index.php
